answer_unit_id,qa_pair_id,meeting_id,meeting_date,answer_speaker_id,answer_speaker_name,answer_speaker_role,answer_speaker_org,answer_speaker_class,answer_turn_start_no,answer_turn_end_no,answer_turn_count,page_start_no,page_end_no,block_start_no,block_end_no,primary_segment_no,answer_text_raw,answer_text_display,answer_text_normalized,answer_text_compact,char_count,sentence_count,role_confidence,qa_confidence,traceability_status,review_status,answer_hash,review_group,manual_label,review_note
ANS_050606_T00899_T00899,QA_050606_000314,050606,2020-10-22,MSP_050606_DFAC3DED,표완수,이사장,한국언론진흥재단,agency_head,050606_T00899,050606_T00899,1,62,62,050606_0062_0035,050606_0062_0036,050606_SEG_TURN_00899,"◯한국언론진흥재단이사장 표완수  그건 정확하

게 잘 모르겠습니다.  
",◯한국언론진흥재단이사장 표완수 그건 정확하 게 잘 모르겠습니다.,◯한국언론진흥재단이사장 표완수 그건 정확하 게 잘 모르겠습니다.,◯한국언론진흥재단이사장표완수그건정확하게잘모르겠습니다.,35,1,0.9,0.8975,PASS,unreviewed,736fc4b8db23242982b2389e411dbceaf049dbee32723ea31213fa22a88ef363,A1,,
ANS_050673_T00190_T00190,QA_050673_000058,050673,2020-10-19,MSP_050673_609D64BC,정희섭,대표이사,(재)한국예술인복지재단,agency_official,050673_T00190,050673_T00190,1,23,23,050673_0023_0034,050673_0023_0036,050673_SEG_TURN_00190,"◯(재)한국예술인복지재단대표이사 정희섭  지금 

정확한 것은 잘 기억이 안 납니다만 한 40～50% 

정도 되는 것으로……
",◯(재)한국예술인복지재단대표이사 정희섭 지금 정확한 것은 잘 기억이 안 납니다만 한 40~50% 정도 되는 것으로......,◯(재)한국예술인복지재단대표이사 정희섭 지금 정확한 것은 잘 기억이 안 납니다만 한 40~50% 정도 되는 것으로......,◯(재)한국예술인복지재단대표이사정희섭지금정확한것은잘기억이안납니다만한40~50%정도되는것으로......,69,1,0.9,0.8975,PASS,unreviewed,bdfb1e9c4f330be7d7791d397d87a755ecef761a6079ee7cf863eade5d37da1b,A1,,
ANS_051424_T01023_T01023,QA_051424_000433,051424,2021-10-12,MSP_051424_0B7F15AB,이은정,이사장,스포츠윤리센터,agency_head,051424_T01023,051424_T01023,1,67,67,051424_0067_0079,051424_0067_0080,051424_SEG_TURN_01023,"◯스포츠윤리센터이사장 이은정  잘 모르겠습니

다.
",◯스포츠윤리센터이사장 이은정 잘 모르겠습니 다.,◯스포츠윤리센터이사장 이은정 잘 모르겠습니 다.,◯스포츠윤리센터이사장이은정잘모르겠습니다.,26,1,0.9,0.8975,PASS,unreviewed,a60baf1aa659c79a162603f2690cbeebf76dbce3e6f1991b8bd142254cc9a2c4,A1,,
ANS_051535_T00215_T00215,QA_051535_000066,051535,2021-10-19,MSP_051535_5DE593BA,안영배,사장,한국관광공사,agency_head,051535_T00215,051535_T00215,1,17,17,051535_0017_0044,051535_0017_0046,051535_SEG_TURN_00215,"◯한국관광공사사장 안영배  예, 그것은 제가 잘 

모르겠습니다.
","◯한국관광공사사장 안영배 예, 그것은 제가 잘 모르겠습니다.","◯한국관광공사사장 안영배 예, 그것은 제가 잘 모르겠습니다.","◯한국관광공사사장안영배예,그것은제가잘모르겠습니다.",33,1,0.9,0.8975,PASS,unreviewed,28bc0ac9028ff31120f8131f58401cbad82031ab26e48943b52d70927290fa41,A1,,
ANS_051558_T00555_T00555,QA_051558_000236,051558,2021-10-07,MSP_051558_8645FBD9,남희숙,관장,대한민국역사박물,agency_head,051558_T00555,051558_T00555,1,42,42,051558_0042_0071,051558_0042_0078,051558_SEG_TURN_00555,"◯대한민국역사박물관장 남희숙  제가 퍼센티지

는 잘 모르겠고요. 저희가 지금 12월 말까지 상

설전시에 대한 전시 가이드를 만들고 있는데요. 

그 가이드 만드는 예산 중 일부분이 청각장애인

을 위한 전시관리 가이드와 그다음에 시각장애인

을 위한 전시가이드를 별도로 만들고 있습니다. 

그런 예산들이 있는데 아마 저기에는 조금 빠진 

것 같습니다.
",◯대한민국역사박물관장 남희숙 제가 퍼센티지 는 잘 모르겠고요. 저희가 지금 12월 말까지 상 설전시에 대한 전시 가이드를 만들고 있는데요. 그 가이드 만드는 예산 중 일부분이 청각장애인 을 위한 전시관리 가이드와 그다음에 시각장애인 을 위한 전시가이드를 별도로 만들고 있습니다. 그런 예산들이 있는데 아마 저기에는 조금 빠진 것 같습니다.,◯대한민국역사박물관장 남희숙 제가 퍼센티지 는 잘 모르겠고요. 저희가 지금 12월 말까지 상 설전시에 대한 전시 가이드를 만들고 있는데요. 그 가이드 만드는 예산 중 일부분이 청각장애인 을 위한 전시관리 가이드와 그다음에 시각장애인 을 위한 전시가이드를 별도로 만들고 있습니다. 그런 예산들이 있는데 아마 저기에는 조금 빠진 것 같습니다.,◯대한민국역사박물관장남희숙제가퍼센티지는잘모르겠고요.저희가지금12월말까지상설전시에대한전시가이드를만들고있는데요.그가이드만드는예산중일부분이청각장애인을위한전시관리가이드와그다음에시각장애인을위한전시가이드를별도로만들고있습니다.그런예산들이있는데아마저기에는조금빠진것같습니다.,189,4,0.9,0.8975,PASS,unreviewed,20b97057602a26e6c69efc7881ed2d14b94cd80a4ce71ad89d2d75cb660774fb,A1,,
ANS_052229_T00538_T00538,QA_052229_000205,052229,2022-10-05,MSP_052229_168294EF,강춘자,증인,,witness,052229_T00538,052229_T00538,1,43,43,052229_0043_0079,052229_0043_0080,052229_SEG_TURN_00538,"◯증인 강춘자  총 상금이 이백…… 잘 모르겠네

요.
",◯증인 강춘자 총 상금이 이백...... 잘 모르겠네 요.,◯증인 강춘자 총 상금이 이백...... 잘 모르겠네 요.,◯증인강춘자총상금이이백......잘모르겠네요.,32,2,0.9,0.8975,PASS,unreviewed,7a4fbeabca16baa57086f04a79cbaaf368d9167e43b20f7b8e9ab1577959a137,A1,,
ANS_052315_T00577_T00577,QA_052315_000209,052315,2022-10-24,MSP_052315_818CCB43,정교화,증인,,witness,052315_T00577,052315_T00577,1,39,39,052315_0039_0088,052315_0039_0088,052315_SEG_TURN_00577,"◯증인 정교화  제가 잘 모르겠습니다.
",◯증인 정교화 제가 잘 모르겠습니다.,◯증인 정교화 제가 잘 모르겠습니다.,◯증인정교화제가잘모르겠습니다.,20,1,0.9,0.8975,PASS,unreviewed,43c771b41507092c55ccffc3280df351b799884da721c3d0cae987055f0465ff,A1,,
ANS_053329_T00195_T00195,QA_053329_000063,053329,2023-10-10,MSP_053329_B01AB979,관유인촌,부장,문화체육관광,agency_official,053329_T00195,053329_T00195,1,17,17,053329_0017_0024,053329_0017_0025,053329_SEG_TURN_00195,"◯문화체육관광부장관 유인촌  저는 그것은 아직 

잘 모르겠습니다.
",◯문화체육관광부장관 유인촌 저는 그것은 아직 잘 모르겠습니다.,◯문화체육관광부장관 유인촌 저는 그것은 아직 잘 모르겠습니다.,◯문화체육관광부장관유인촌저는그것은아직잘모르겠습니다.,34,1,0.9,0.8975,PASS,unreviewed,ed42aad34a5e7c0fcab7f6f364a14a6634a88a927d6b9901a7d341a85d009498,A1,,
ANS_053389_T00266_T00266,QA_053389_000100,053389,2023-10-26,MSP_053389_B01AB979,관유인촌,부장,문화체육관광,agency_official,053389_T00266,053389_T00266,1,19,19,053389_0019_0040,053389_0019_0042,053389_SEG_TURN_00266,"◯문화체육관광부장관 유인촌  그것은 좀 확인을 

해 보겠습니다. 저도 아직 거기까지는 잘 모르겠

는데요. 
",◯문화체육관광부장관 유인촌 그것은 좀 확인을 해 보겠습니다. 저도 아직 거기까지는 잘 모르겠 는데요.,◯문화체육관광부장관 유인촌 그것은 좀 확인을 해 보겠습니다. 저도 아직 거기까지는 잘 모르겠 는데요.,◯문화체육관광부장관유인촌그것은좀확인을해보겠습니다.저도아직거기까지는잘모르겠는데요.,56,2,0.9,0.8975,PASS,unreviewed,707610ba2acc545750f4b46664861c56f0ffa39dbfb5195ef1e3c76041762dc3,A1,,
ANS_053598_T00818_T00818,QA_053598_000338,053598,2023-10-24,MSP_053598_04C28453,조연상,증인,,witness,053598_T00818,053598_T00818,1,43,43,053598_0043_0000,053598_0043_0000,053598_SEG_TURN_00818,"◯증인 조연상  그것은 정확히 잘 모르겠습니다.
",◯증인 조연상 그것은 정확히 잘 모르겠습니다.,◯증인 조연상 그것은 정확히 잘 모르겠습니다.,◯증인조연상그것은정확히잘모르겠습니다.,25,1,0.9,0.8975,PASS,unreviewed,614c710270952b478a44685e0e26cdb9583156d1631eb279b877e59119e52550,A1,,
ANS_054235_T00172_T00172,QA_054235_000061,054235,2024-10-07,MSP_054235_B01AB979,관유인촌,부장,문화체육관광,agency_official,054235_T00172,054235_T00172,1,24,24,054235_0024_0032,054235_0024_0032,054235_SEG_TURN_00172,"◯문화체육관광부장관유인촌
글쎄요, 그건잘모르겠는데요, 저는.
","◯문화체육관광부장관유인촌 글쎄요, 그건잘모르겠는데요, 저는.","◯문화체육관광부장관유인촌 글쎄요, 그건잘모르겠는데요, 저는.","◯문화체육관광부장관유인촌글쎄요,그건잘모르겠는데요,저는.",33,1,0.9,0.8975,PASS,unreviewed,b2432da495fe79606ccb63412fe3f6001a6fe53ced41923d06e0b3103d162b8a,A1,,
ANS_054235_T00377_T00377,QA_054235_000158,054235,2024-10-07,MSP_054235_B01AB979,관유인촌,부장,문화체육관광,agency_official,054235_T00377,054235_T00377,1,41,41,054235_0041_0018,054235_0041_0018,054235_SEG_TURN_00377,"◯문화체육관광부장관유인촌
글쎄요, 그건저도잘모르겠네요.
","◯문화체육관광부장관유인촌 글쎄요, 그건저도잘모르겠네요.","◯문화체육관광부장관유인촌 글쎄요, 그건저도잘모르겠네요.","◯문화체육관광부장관유인촌글쎄요,그건저도잘모르겠네요.",30,1,0.9,0.8975,PASS,unreviewed,f18f44b57f30d48ff1f72ef8b0c35989c52b8d3af5df875fd94af099e7f9ca6f,A1,,
ANS_054519_T00082_T00082,QA_054519_000031,054519,2024-10-18,MSP_054519_F67954E0,정용석,사장,국립박물관문화재단,agency_head,054519_T00082,054519_T00082,1,12,12,054519_0012_0031,054519_0012_0032,054519_SEG_TURN_00082,"◯국립박물관문화재단사장정용석
정확하게는기억이안납니다. 그전에연락을주셨

어가지고요, 그래서비서관님이……
","◯국립박물관문화재단사장정용석 정확하게는기억이안납니다. 그전에연락을주셨 어가지고요, 그래서비서관님이......","◯국립박물관문화재단사장정용석 정확하게는기억이안납니다. 그전에연락을주셨 어가지고요, 그래서비서관님이......","◯국립박물관문화재단사장정용석정확하게는기억이안납니다.그전에연락을주셨어가지고요,그래서비서관님이......",60,2,0.9,0.8975,PASS,unreviewed,1209e78532585c0b009470c1f06f64f3833c5f3c582a6e2eee10338f7fef760d,A1,,
ANS_054519_T01012_T01012,QA_054519_000462,054519,2024-10-18,MSP_054519_33B852DC,김영수,단장,국립중앙박물관행정운영,agency_official,054519_T01012,054519_T01012,1,76,76,054519_0076_0005,054519_0076_0006,054519_SEG_TURN_01012,"◯국립중앙박물관행정운영단장김영수
어떤방법으로닦았는지는제가잘모르겠습니

다, 전문가들이하는거라서요.
","◯국립중앙박물관행정운영단장김영수 어떤방법으로닦았는지는제가잘모르겠습니 다, 전문가들이하는거라서요.","◯국립중앙박물관행정운영단장김영수 어떤방법으로닦았는지는제가잘모르겠습니 다, 전문가들이하는거라서요.","◯국립중앙박물관행정운영단장김영수어떤방법으로닦았는지는제가잘모르겠습니다,전문가들이하는거라서요.",53,1,0.9,0.8975,PASS,unreviewed,f9934e55e66aef6bd6574ad4d8a5e2e9ba76d8f204fa21ee5002424bd5656efc,A1,,
ANS_054576_T01167_T01167,QA_054576_000503,054576,2024-10-22,MSP_054576_135FD702,이기흥,회장,대한체육,agency_head,054576_T01167,054576_T01167,1,79,79,054576_0079_0021,054576_0079_0021,054576_SEG_TURN_01167,"◯대한체육회장이기흥
그건기억이없습니다. 그렇지만체육인들은다아니까……
",◯대한체육회장이기흥 그건기억이없습니다. 그렇지만체육인들은다아니까......,◯대한체육회장이기흥 그건기억이없습니다. 그렇지만체육인들은다아니까......,◯대한체육회장이기흥그건기억이없습니다.그렇지만체육인들은다아니까......,41,2,0.9,0.8975,PASS,unreviewed,c4a070da259fa4b5782817d454d2ec2a2f8d1fc13574c1d402b91f2856eed0ec,A1,,
ANS_054576_T01522_T01522,QA_054576_000675,054576,2024-10-22,MSP_054576_C5018A12,김병철,증인,,witness,054576_T01522,054576_T01522,1,100,100,054576_0100_0005,054576_0100_0006,054576_SEG_TURN_01522,"◯증인김병철
그것은잘모르겠습니다. 체육회에서가끔체육회단합대회행사가있다

고연락이오면……
",◯증인김병철 그것은잘모르겠습니다. 체육회에서가끔체육회단합대회행사가있다 고연락이오면......,◯증인김병철 그것은잘모르겠습니다. 체육회에서가끔체육회단합대회행사가있다 고연락이오면......,◯증인김병철그것은잘모르겠습니다.체육회에서가끔체육회단합대회행사가있다고연락이오면......,51,2,0.9,0.8975,PASS,unreviewed,96800ddbfb678f3d0ed96803b0d2017f9e32d2a1fcab2ca50ce7e21449c46ac6,A1,,
ANS_054576_T02103_T02103,QA_054576_000925,054576,2024-10-22,MSP_054576_29F5D620,김택규,증인,,witness,054576_T02103,054576_T02103,1,131,131,054576_0131_0014,054576_0131_0014,054576_SEG_TURN_02103,"◯증인김택규
잘모르겠습니다.
",◯증인김택규 잘모르겠습니다.,◯증인김택규 잘모르겠습니다.,◯증인김택규잘모르겠습니다.,15,1,0.9,0.8975,PASS,unreviewed,f89dfbb3f16aa0f146b47b26c9a58a558121e0ad3d995b28a2d90fa5aedff494,A1,,
ANS_054576_T03243_T03243,QA_054576_001431,054576,2024-10-22,MSP_054576_135FD702,이기흥,회장,대한체육,agency_head,054576_T03243,054576_T03243,1,202,202,054576_0202_0019,054576_0202_0019,054576_SEG_TURN_03243,"◯대한체육회장이기흥
아니, 정확하게기억이없습니다.
","◯대한체육회장이기흥 아니, 정확하게기억이없습니다.","◯대한체육회장이기흥 아니, 정확하게기억이없습니다.","◯대한체육회장이기흥아니,정확하게기억이없습니다.",27,1,0.9,0.8975,PASS,unreviewed,b23263aabe2945fe12061ca2dbbf1db9c818af3ed69e3874f91b80529c679605,A1,,
ANS_054622_T00210_T00210,QA_054622_000077,054622,2024-10-24,MSP_054622_B01AB979,관유인촌,부장,문화체육관광,agency_official,054622_T00210,054622_T00210,1,22,22,054622_0022_0011,054622_0022_0011,054622_SEG_TURN_00210,"◯문화체육관광부장관유인촌
방문하셔서이런얘기를했는지는저는잘모르겠고요.
",◯문화체육관광부장관유인촌 방문하셔서이런얘기를했는지는저는잘모르겠고요.,◯문화체육관광부장관유인촌 방문하셔서이런얘기를했는지는저는잘모르겠고요.,◯문화체육관광부장관유인촌방문하셔서이런얘기를했는지는저는잘모르겠고요.,37,1,0.9,0.8975,PASS,unreviewed,39c87ec230f9d2bee369c92c635381cc76aa00a703bfe1c367d339918b39a036,A1,,
ANS_054622_T00658_T00658,QA_054622_000284,054622,2024-10-24,MSP_054622_B01AB979,관유인촌,부장,문화체육관광,agency_official,054622_T00658,054622_T00658,1,57,57,054622_0057_0026,054622_0057_0029,054622_SEG_TURN_00658,"◯문화체육관광부장관유인촌
그이전에왜그렇게많은걸허락해주고승인했는지는

잘모르겠습니다만여러가지이유가있었겠지요. 하지만그결과가너무나안좋게나

타나고있기때문에제가정말어떻게든지올바르게갈수있도록…… 이렇게일이됐다

이렇게말씀드리겠습니다.
",◯문화체육관광부장관유인촌 그이전에왜그렇게많은걸허락해주고승인했는지는 잘모르겠습니다만여러가지이유가있었겠지요. 하지만그결과가너무나안좋게나 타나고있기때문에제가정말어떻게든지올바르게갈수있도록...... 이렇게일이됐다 이렇게말씀드리겠습니다.,◯문화체육관광부장관유인촌 그이전에왜그렇게많은걸허락해주고승인했는지는 잘모르겠습니다만여러가지이유가있었겠지요. 하지만그결과가너무나안좋게나 타나고있기때문에제가정말어떻게든지올바르게갈수있도록...... 이렇게일이됐다 이렇게말씀드리겠습니다.,◯문화체육관광부장관유인촌그이전에왜그렇게많은걸허락해주고승인했는지는잘모르겠습니다만여러가지이유가있었겠지요.하지만그결과가너무나안좋게나타나고있기때문에제가정말어떻게든지올바르게갈수있도록......이렇게일이됐다이렇게말씀드리겠습니다.,127,3,0.9,0.8975,PASS,unreviewed,35c3f7d237bee9d6c4806bd53c77dc70a48d0221a7da032b732717a73e869e33,A1,,
ANS_054622_T00810_T00810,QA_054622_000330,054622,2024-10-24,MSP_054622_E92C8F8B,김태호,증인,,witness,054622_T00810,054622_T00810,1,70,70,054622_0070_0015,054622_0070_0015,054622_SEG_TURN_00810,"◯증인김태호
제가다른회사의상황은잘모르겠습니다.
",◯증인김태호 제가다른회사의상황은잘모르겠습니다.,◯증인김태호 제가다른회사의상황은잘모르겠습니다.,◯증인김태호제가다른회사의상황은잘모르겠습니다.,25,1,0.9,0.8975,PASS,unreviewed,d1f974eddf25d8a58da80dc1f4ce02959c7f8ee056e04da032710af739bb44af,A1,,
ANS_054622_T01024_T01024,QA_054622_000430,054622,2024-10-24,MSP_054622_8C44461D,김풍년,증인,,witness,054622_T01024,054622_T01024,1,82,82,054622_0082_0030,054622_0082_0030,054622_SEG_TURN_01024,"◯증인김풍년
정확하게그부분을기억하지못하고요.
",◯증인김풍년 정확하게그부분을기억하지못하고요.,◯증인김풍년 정확하게그부분을기억하지못하고요.,◯증인김풍년정확하게그부분을기억하지못하고요.,24,1,0.9,0.8975,PASS,unreviewed,bad78fdde5c32ed68ad6a996a25697cb152833a50a73a4f4146d3bec2d994842,A1,,
ANS_054622_T01880_T01880,QA_054622_000815,054622,2024-10-24,MSP_054622_E3B138D7,정몽규,증인,,witness,054622_T01880,054622_T01880,1,133,133,054622_0133_0014,054622_0133_0015,054622_SEG_TURN_01880,"◯증인정몽규
아니, 그냥제가느끼는뉘앙스로만설명드렸습니다. 정확한사전적의

미는잘모르겠습니다.
","◯증인정몽규 아니, 그냥제가느끼는뉘앙스로만설명드렸습니다. 정확한사전적의 미는잘모르겠습니다.","◯증인정몽규 아니, 그냥제가느끼는뉘앙스로만설명드렸습니다. 정확한사전적의 미는잘모르겠습니다.","◯증인정몽규아니,그냥제가느끼는뉘앙스로만설명드렸습니다.정확한사전적의미는잘모르겠습니다.",50,2,0.9,0.8975,PASS,unreviewed,e2293bff57ab1245b84cc8a0e61a87e4fe79a07ef5d6ff072b7e47a1cfb4a40d,A1,,
ANS_054622_T02591_T02591,QA_054622_001095,054622,2024-10-24,MSP_054622_B01AB979,관유인촌,부장,문화체육관광,agency_official,054622_T02591,054622_T02591,1,180,180,054622_0180_0009,054622_0180_0009,054622_SEG_TURN_02591,"◯문화체육관광부장관유인촌
명칭은잘모르겠습니다.
",◯문화체육관광부장관유인촌 명칭은잘모르겠습니다.,◯문화체육관광부장관유인촌 명칭은잘모르겠습니다.,◯문화체육관광부장관유인촌명칭은잘모르겠습니다.,25,1,0.9,0.8975,PASS,unreviewed,2e6f5848ad5d02c1969dc4a20e160a4352f833c27f714a0a1991a289e9f53214,A1,,
ANS_054622_T02935_T02935,QA_054622_001243,054622,2024-10-24,MSP_054622_B01AB979,관유인촌,부장,문화체육관광,agency_official,054622_T02935,054622_T02935,1,205,205,054622_0205_0020,054622_0205_0021,054622_SEG_TURN_02935,"◯문화체육관광부장관유인촌
글쎄요, 그때는제가없어서잘모르겠는데요. 아마이

잔디보수는서울시가했어야될건데문체부가그런약속을어떻게했나모르겠네요.
","◯문화체육관광부장관유인촌 글쎄요, 그때는제가없어서잘모르겠는데요. 아마이 잔디보수는서울시가했어야될건데문체부가그런약속을어떻게했나모르겠네요.","◯문화체육관광부장관유인촌 글쎄요, 그때는제가없어서잘모르겠는데요. 아마이 잔디보수는서울시가했어야될건데문체부가그런약속을어떻게했나모르겠네요.","◯문화체육관광부장관유인촌글쎄요,그때는제가없어서잘모르겠는데요.아마이잔디보수는서울시가했어야될건데문체부가그런약속을어떻게했나모르겠네요.",75,2,0.9,0.8975,PASS,unreviewed,48fc1b8c50642fb77419895e2c4034ad6c6b7273f484733b4871cd3a13e325fa,A1,,
ANS_N053480_T01018_T01018,QA_N053480_000349,N053480,2025-10-20,MSP_N053480_F06B5194,유병철,본부장,한국언론진흥재단경영,agency_official,N053480_T01018,N053480_T01018,1,78,78,N053480_0078_0027,N053480_0078_0027,N053480_SEG_TURN_01018,"◯한국언론진흥재단경영본부장유병철
그내용은제가소상히잘모르겠습니다.
",◯한국언론진흥재단경영본부장유병철 그내용은제가소상히잘모르겠습니다.,◯한국언론진흥재단경영본부장유병철 그내용은제가소상히잘모르겠습니다.,◯한국언론진흥재단경영본부장유병철그내용은제가소상히잘모르겠습니다.,35,1,0.9,0.8975,PASS,unreviewed,356af91e5081aefe350889f3ea8b7a027c4ea3f46e1aed796189055d33c0d65b,A1,,
ANS_N053481_T00919_T00919,QA_N053481_000411,N053481,2025-10-16,MSP_N053481_6EA065B2,이종훈,정책관,국가유산청역사유적,agency_official,N053481_T00919,N053481_T00919,1,75,75,N053481_0075_0029,N053481_0075_0029,N053481_SEG_TURN_00919,"◯국가유산청역사유적정책관이종훈
그것까지는잘모르겠습니다.
",◯국가유산청역사유적정책관이종훈 그것까지는잘모르겠습니다.,◯국가유산청역사유적정책관이종훈 그것까지는잘모르겠습니다.,◯국가유산청역사유적정책관이종훈그것까지는잘모르겠습니다.,30,1,0.9,0.8975,PASS,unreviewed,22306a89c70b861bc12ff60463399906629073a8813a2221c01c9e4cbdf6c70b,A1,,
ANS_N053481_T01390_T01390,QA_N053481_000614,N053481,2025-10-16,MSP_N053481_E04D28F9,이귀영,원장,국가유산진흥,agency_head,N053481_T01390,N053481_T01390,1,115,115,N053481_0115_0006,N053481_0115_0006,N053481_SEG_TURN_01390,"◯국가유산진흥원장이귀영
잘모르겠습니다.
",◯국가유산진흥원장이귀영 잘모르겠습니다.,◯국가유산진흥원장이귀영 잘모르겠습니다.,◯국가유산진흥원장이귀영잘모르겠습니다.,21,1,0.9,0.8975,PASS,unreviewed,e30bdafa81f3d56311ac6e264eeec3814cb063379926d387048bef152dd0ab37,A1,,
ANS_N053482_T00608_T00608,QA_N053482_000263,N053482,2025-10-22,MSP_N053482_F67954E0,정용석,사장,국립박물관문화재단,agency_head,N053482_T00608,N053482_T00608,1,42,42,N053482_0042_0016,N053482_0042_0016,N053482_SEG_TURN_00608,"◯국립박물관문화재단사장정용석
뒤가있는지, 자리가있는지잘모르겠습니다.
","◯국립박물관문화재단사장정용석 뒤가있는지, 자리가있는지잘모르겠습니다.","◯국립박물관문화재단사장정용석 뒤가있는지, 자리가있는지잘모르겠습니다.","◯국립박물관문화재단사장정용석뒤가있는지,자리가있는지잘모르겠습니다.",37,1,0.9,0.8975,PASS,unreviewed,aab37d2ed2670f04ea460d2598654010f28b8ad33d1bb8f51be767996e1e6baf,A1,,
ANS_N053487_T01242_T01242,QA_N053487_000480,N053487,2025-10-29,MSP_N053487_07C95173,유승민,회장,대한체육,agency_head,N053487_T01242,N053487_T01242,1,97,97,N053487_0097_0015,N053487_0097_0015,N053487_SEG_TURN_01242,"◯대한체육회장유승민
그것까지는제가정확히날짜를기억하지못하는데요.
",◯대한체육회장유승민 그것까지는제가정확히날짜를기억하지못하는데요.,◯대한체육회장유승민 그것까지는제가정확히날짜를기억하지못하는데요.,◯대한체육회장유승민그것까지는제가정확히날짜를기억하지못하는데요.,34,1,0.9,0.8975,PASS,unreviewed,259d8e4665a778f01eae4d5eabf86162733de21fb7b94c0f89d3f12dec933b1c,A1,,
