segment_no,vector_row
050308_SEG_TURN_00570,0
050430_SEG_TURN_00137,1
050308_SEG_PREV_CURR_00570,2
050308_SEG_CURR_NEXT_00569,3
050430_SEG_PREV_CURR_00138,4
050430_SEG_CURR_NEXT_00137,5
050430_SEG_CURR_NEXT_00136,6
050430_SEG_PREV_CURR_00137,7
050308_SEG_TURN_00385,8
050308_SEG_TURN_00074,9
050350_SEG_TURN_00217,10
050308_SEG_CURR_NEXT_00384,11
050308_SEG_PREV_CURR_00385,12
050308_SEG_PREV_CURR_00571,13
050308_SEG_CURR_NEXT_00570,14
050606_SEG_TURN_00565,15
050308_SEG_PREV_CURR_00074,16
050308_SEG_CURR_NEXT_00073,17
050350_SEG_TURN_01264,18
050350_SEG_CURR_NEXT_00216,19
050350_SEG_PREV_CURR_00217,20
050350_SEG_PREV_CURR_00218,21
050350_SEG_CURR_NEXT_00217,22
050308_SEG_CURR_NEXT_00074,23
050308_SEG_PREV_CURR_00075,24
050492_SEG_TURN_00344,25
050430_SEG_TURN_01139,26
050606_SEG_PREV_CURR_00565,27
050606_SEG_CURR_NEXT_00564,28
050492_SEG_CURR_NEXT_00344,29
050492_SEG_PREV_CURR_00345,30
050492_SEG_PREV_CURR_00344,31
050492_SEG_CURR_NEXT_00343,32
050615_SEG_TURN_00491,33
050350_SEG_PREV_CURR_01264,34
050350_SEG_CURR_NEXT_01263,35
050430_SEG_TURN_00736,36
050350_SEG_PREV_CURR_01265,37
050350_SEG_CURR_NEXT_01264,38
050350_SEG_TURN_00106,39
050430_SEG_TURN_00097,40
050492_SEG_TURN_00197,41
050430_SEG_CURR_NEXT_00736,42
050430_SEG_PREV_CURR_00737,43
050430_SEG_PREV_CURR_00098,44
050430_SEG_CURR_NEXT_00097,45
050308_SEG_CURR_NEXT_00385,46
050308_SEG_PREV_CURR_00386,47
050492_SEG_PREV_CURR_00197,48
050492_SEG_CURR_NEXT_00196,49
050492_SEG_TURN_00145,50
050615_SEG_TURN_01350,51
050615_SEG_PREV_CURR_01350,52
050615_SEG_CURR_NEXT_01349,53
050615_SEG_CURR_NEXT_01350,54
050615_SEG_PREV_CURR_01351,55
050350_SEG_TURN_01104,56
050606_SEG_TURN_00914,57
050673_SEG_TURN_00399,58
050606_SEG_TURN_00284,59
050606_SEG_CURR_NEXT_00284,60
050606_SEG_PREV_CURR_00285,61
050430_SEG_TURN_00500,62
050492_SEG_PREV_CURR_00145,63
050492_SEG_CURR_NEXT_00144,64
050606_SEG_CURR_NEXT_00914,65
050606_SEG_PREV_CURR_00915,66
050606_SEG_CURR_NEXT_00913,67
050606_SEG_PREV_CURR_00914,68
050606_SEG_PREV_CURR_00284,69
050606_SEG_CURR_NEXT_00283,70
050615_SEG_TURN_01163,71
050673_SEG_TURN_01172,72
050673_SEG_PREV_CURR_00400,73
050673_SEG_CURR_NEXT_00399,74
050615_SEG_TURN_01494,75
050430_SEG_TURN_00674,76
050492_SEG_TURN_01369,77
050615_SEG_CURR_NEXT_01163,78
050615_SEG_PREV_CURR_01164,79
050430_SEG_CURR_NEXT_00500,80
050430_SEG_PREV_CURR_00501,81
050673_SEG_PREV_CURR_00399,82
050673_SEG_CURR_NEXT_00398,83
050350_SEG_TURN_01363,84
050430_SEG_CURR_NEXT_00002,85
050430_SEG_PREV_CURR_00003,86
050606_SEG_TURN_01149,87
050673_SEG_CURR_NEXT_01172,88
050673_SEG_PREV_CURR_01173,89
050350_SEG_CURR_NEXT_01362,90
050350_SEG_PREV_CURR_01363,91
050673_SEG_PREV_CURR_01172,92
050673_SEG_CURR_NEXT_01171,93
050673_SEG_TURN_00440,94
050606_SEG_TURN_00956,95
050492_SEG_CURR_NEXT_01369,96
050492_SEG_PREV_CURR_01370,97
050606_SEG_CURR_NEXT_01149,98
050606_SEG_PREV_CURR_01150,99
050350_SEG_TURN_00329,100
050615_SEG_TURN_01426,101
050350_SEG_TURN_01182,102
050350_SEG_CURR_NEXT_00328,103
050350_SEG_PREV_CURR_00329,104
050350_SEG_CURR_NEXT_00329,105
050350_SEG_PREV_CURR_00330,106
050615_SEG_TURN_00143,107
050615_SEG_PREV_CURR_01426,108
050615_SEG_CURR_NEXT_01425,109
050615_SEG_CURR_NEXT_00143,110
050615_SEG_PREV_CURR_00144,111
050492_SEG_TURN_00937,112
050615_SEG_PREV_CURR_00143,113
050615_SEG_CURR_NEXT_00142,114
050615_SEG_CURR_NEXT_01426,115
050615_SEG_PREV_CURR_01427,116
050492_SEG_PREV_CURR_00938,117
050492_SEG_CURR_NEXT_00937,118
050492_SEG_CURR_NEXT_00933,119
050492_SEG_PREV_CURR_00934,120
050492_SEG_TURN_00934,121
050350_SEG_CURR_NEXT_01182,122
050350_SEG_PREV_CURR_01183,123
050615_SEG_TURN_00144,124
050350_SEG_PREV_CURR_01182,125
050350_SEG_CURR_NEXT_01181,126
050673_SEG_TURN_00209,127
050308_SEG_TURN_00213,128
050673_SEG_TURN_00539,129
050606_SEG_TURN_00128,130
050430_SEG_TURN_00844,131
050430_SEG_PREV_CURR_00845,132
050430_SEG_CURR_NEXT_00844,133
050606_SEG_TURN_01114,134
050308_SEG_PREV_CURR_00213,135
050308_SEG_CURR_NEXT_00212,136
050492_SEG_CURR_NEXT_00936,137
050492_SEG_PREV_CURR_00937,138
050430_SEG_CURR_NEXT_00843,139
050430_SEG_PREV_CURR_00844,140
050606_SEG_PREV_CURR_00129,141
050606_SEG_CURR_NEXT_00128,142
050606_SEG_PREV_CURR_00128,143
050606_SEG_CURR_NEXT_00127,144
050492_SEG_TURN_00933,145
050606_SEG_PREV_CURR_01114,146
050606_SEG_CURR_NEXT_01113,147
050606_SEG_PREV_CURR_01115,148
050606_SEG_CURR_NEXT_01114,149
050615_SEG_TURN_00996,150
050615_SEG_CURR_NEXT_00995,151
050615_SEG_PREV_CURR_00996,152
050606_SEG_TURN_01344,153
050606_SEG_CURR_NEXT_01344,154
050606_SEG_PREV_CURR_01345,155
050606_SEG_CURR_NEXT_01343,156
050606_SEG_PREV_CURR_01344,157
050492_SEG_CURR_NEXT_00197,158
050492_SEG_PREV_CURR_00198,159
050673_SEG_TURN_00168,160
050492_SEG_TURN_00884,161
