meeting_id,meeting_year,issue_no,issue_text,action_text,future_plan_text,status,source_page
UNMAPPED_REPORT_2020,20,378,"어려움을겪고있는언론사를 위해포털과의새로운관계정립이 필요하며, 팩트체크는언론이 자율적으로할수있도록하고 재단은언론진흥역할을할것","포털제휴평가위원회에참석하여지역언론균형발전지원 ㅇ 필요성등에대해지속적인의견제시(5회, 21년3월~5월) 언론·국민의자율적팩트체크활동지원 ㅇ - 한국신문윤리위원회, 인터넷신문위원회등언론자율심의 단체지원및‘감염병보도지침’ 제정(4.28.) 등지원 - 언론의팩트체크관련취재지원('20년4건, '21년8월 말기준6건) 및언론인연수시행('20년37회200명, '21년8월말17회344명)",언론계지원및언론인연수등을통한언론역량강화 ㅇ 지속추진,active,133
UNMAPPED_REPORT_2020,20,408,올해진행하는상임심판평가 제도개선연구용역에위의 내용을반영할것,"상임심판제도개선연구실시(한국스포츠정책과학원) ㅇ - (‘21.4.9.) 2020 사업계획변경승인(불용액활용연구추진) - (’21.4.~8.) 상임심판제도개선연구실시 ※ [주요연구결과] ․상임심판제도운영목적재검토(전문성/공정성집중) 및 제도 운영기관책무성강화방안제안 ․상임심판활동인정체계개선권고(종목별활동강도반영등) ․상임심판처우개선을위한종목단체자체지원확대제안 (심판배정시여비지급의무화, 수당증액분담등) ․신규종목선정지표개선책수립 ․재난재해및감염병에따른비상운영체계마련등",상임심판제도개선연구결과에따른제도개선추진 ㅇ,active,143
UNMAPPED_REPORT_2020,20,412,창립100주년기념체육인 인명사전에범죄행위로징계를 받은선수및친일인사포함 등 문제에 대한 합리적인 기준을만들어추진할것,"조치완료 100주년기념사업편찬영상분과위원회개최(’20.10.27.), ㅇ 수록기준및대상자재검토 국회-문체부-체육회의견을종합하여기준(안) 마련 ㅇ 및추진(‘20.11~12월) - 체육인명사전서두에일러두기를통해선정기준을명기 하고, 명단에친일인명사전등재사실을병기하되(성)폭력 등으로영구제명된자는수록하지않는것으로추진",null,complete,144
UNMAPPED_REPORT_2020,20,428,장애인체육임직원의여성비율을 30%까지맞출수있도록노력 할것,"ㅇ정규직현원116명(’21. 7월기준) 중여성은36명(31%)으로, 30% 이상이며, 균등한채용기회보장을위해지속노력중","ㅇ현재임원35명중여성임원은8명(22.9%)이며, 더많은여성을 참여시키기위해각종위원회구성시여성위원참여를확대할 예정(’21.9월말완료)",complete,149
UNMAPPED_REPORT_2020,20,433,법령을잘알지못하는회원종목 단체에법률자문을제공할수 있도록할것,"조치완료 ㅇ가맹단체법률자문지원사업운영(’18∼’21년현재까지) - 32개가맹단체제반업무와관련하여규정및법률상담, 자문등지원",ㅇ가맹단체법률자문지원사업지속적으로운영지원,complete,150
UNMAPPED_REPORT_2020,20,436,장애인사이클팀류00감독에 대한제대로된징계가이루어질 수있도록대한장애인체육회에서 법적자문등필요한사항을지원 할것,조치완료 가맹단체법률자문지원사업(’18∼’21년현재까지)으로사이클 ㅇ 연맹의류00감독징계관련법률자문지원 * 사이클연맹징계결과: 류00감독영구제명(2020.12.21.),null,complete,150
UNMAPPED_REPORT_2020,20,438,재단자회사대표의관용차를구매한 것은부적절했으므로집행액환수등 적정한조치를취할것,ㅇ차량매각완료(’21.7.27.) ㅇ매각대금회수완료(자회사→재단)(’21.8.3.),ㅇ국민체육진흥공단협의후반납예정(~’21.12월),complete,151
UNMAPPED_REPORT_2020,20,440,"학교밖청소년및어린이, 청소년 등 저연령층 대상 도박문제예방교육을적극적 으로실시할것",조치완료 초등대상온라인예방교육콘텐츠보급(‘21.2.) ㅇ 온라인교원직무연수초등교원대상확대운영(‘21.2.~) ㅇ 초등교육용콘텐츠2종개발중(~‘21.11.) ㅇ,null,complete,152
UNMAPPED_REPORT_2020,20,443,"서비스전달체계개선방안은 사행산업통합감독위원회, 한국 도박문제관리센터, 지역보조 사업자간충분한논의를통해 합리적인안을마련할것",｢한국도박문제관리센터의서비스조직및서비스전달 ㅇ 체계개편방안｣연구용역추진 (`21.1.~10. 한국문화관광연구원),추후연구결과를바탕으로사감위와의협의과정을통해 ㅇ 개편(안) 마련,active,152
UNMAPPED_REPORT_2020,20,450,DMZ 평화관광사업지역내 지뢰매설로인한안전문제가 우려되므로관련부처와의협의를 통해철저한안전대책을수립 할것,"국방부주관수립한안전대책에따라‘DMZ평화의길’ 사업 ㅇ 추진예정(’21.11월) - 군관할사단, 지자체에서현장안전점검실시 - 관계기관협력추진(문체부: 사업총괄, 군부대·지자체 : 현장안전관리, 공사: 예약‧홍보등) * ‘DMZ평화의길’사업이외에는민간인출입가능한일반 지역대상임",관계기관과의협력체계지속가동하여사업추진 ㅇ - DMZ평화관광사업추진시현장안전성의면밀한사전 점검후추진,active,154
UNMAPPED_REPORT_2020,20,457,부산외관광거점도시의관광 기업지원센터추가설립을위한 예산을확보할것,"수도권에집중된관광기업지원체계의지역확산을위해 ㅇ ’19년부터 지역관광기업지원센터가 현재 4개소(부산, 인천, 대전·세종, 경남) 구축및운영중 ’24년까지(서울과제주를제외한) 전국14개광역단위 ㅇ 전역에지역관광기업지원센터확대구축계획 - (~’20년)4개소→(’22년)6개소→(’23년)10개소→(’24년)14개소(누적) ’22년미구축지역대상2개소신규구축예산(안) ㅇ - 지역관광기업지원센터구축26억원(2개소x13억)","’22년2개소신규구축예산확정후, 광역지자체대상 ㅇ 지역관광기업지원센터구축사업공모진행 - 공모(안) 수립: ’21년11월~12월, 공모진행: ’22년1월~3월",active,156
UNMAPPED_REPORT_2020,20,458,인바운드관광객급감등코로나 피해극복을위한국내관광 활성화대책을발굴할것,"단계적일상회복시방역관리중심의안전여행기반 ㅇ 국내여행활성화를위해관광지시설/유형별안전여행가이드 제작및지자체/RTO 협력지역별안심관광지선정및홍보 마케팅등안심여행캠페인추진(‘21.4월~12월) 코로나19 이후변화한여행방식반영신규콘텐츠발굴및관련 ㅇ 여행상품개발등을통한국내여행활성화추진(‘21.1월~12월) - 재택/원격근무확산반영워케이션(Worcation) 상품, 비대면 /소규모여행객을위한자동차여행, 여행수요분산및 체류시간증대를위한야간관광등",방역당국과지속적인협의및코로나19 국내확산상황 ㅇ 등을고려하여’21년하반기국내여행캠페인‘여행가는달’ 및대국민숙박할인쿠폰사업‘대한민국숙박대전’ 실시로 국내여행활성화를통한업계지원추진예정,active,157
UNMAPPED_REPORT_2020,20,461,문화관광해설사관리시스템 이용활성화및서울시등과 협업및연계방안을마련할것,"관리시스템및예약시스템활성화 ㅇ - 시스템관리대상인해설사기본정보등록요청(20.11월) - 시스템이용활성화관련협조요청공문발송(21.4월) (통합관리시스템의관리자및해설사정보현행화, 예약 시스템의관광지정보, 해설사배치정보등) - 예약채널추가(21.7월) (‘대한민국구석구석’사이트관광지정보에서해설서비스 예약가능하도록기능구현및홍보이벤트실시) - 사용자대상시스템사용에대한의견수렴간담회 개최(21.6월) (사용의견청취, 기능개선및활성화를위한방안마련 의견수렴) 서울시등자체시스템운영중인지자체와의협업논의 ㅇ (통합관리시스템과의병행은비효율적으로판단, 분기별 지자체로부터파일수취하여통합관리시스템에업로드 및관리체계등논의)","간담회의견등을반영한관리시스템기능개선(~21.12월) ㅇ - QR코드를활용한제도및사이트홍보, 통계기능보강등 시스템기능개선에따른사용자대상교육실시(21.10.~11월) ㅇ - 매뉴얼제작·배포, 권역별교육. 서울시등자체시스템사용지자체와시스템연계재 ㅇ 논의(21.12월) - ‘22년시스템기능개선에반영여부검토",active,158
UNMAPPED_REPORT_2020,20,463,K-콘텐츠열풍유지를위한 해외지사와현지한국문화원등 유관기관간의상시협업및 공조체계를강화할것,"ㅇ한국문화콘텐츠를활용한해외방한관광홍보마케팅은 해외문화홍보원, 세종학당등현지유관기관과수시로 협업추진중 - 한국관광홍보및한국어확산을위한공사-세종학당재단 MOU 체결(‘20.10.29.) - K-POP 커버댄스경연대회, 한국관광퀴즈대회, 한국문화 전시회개최및홍보관운영등",K-콘텐츠를중심으로유관기관과의다양한협업사업을 ㅇ 지속적으로확대추진예정,active,159
UNMAPPED_REPORT_2020,20,467,"공공기관선진화방침관련, 유망사업이 수익사업이라는 이유로진행되지못할우려가 있으므로선진화방침폐지를 건의할것",null,공사는정부의공기업선진화방침(’08년) 이후신규관광단지 ㅇ 개발사업중단및기존개발관광단지매각을추진하는한편 면세점사업도철수완료(’16년) 관광진흥에부합하는기능필요시주무부처등과협의하여 ㅇ 추진,complete,160
UNMAPPED_REPORT_2020,20,468,"얼리버드프로모션, Feel the Rhythm of Korea 등홍보성과로 인한포스트코로나시대관광 수요증가에대한대비책을 마련할것",ㅇ안전관광목적지로서의신뢰확보위한홍보추진(연중) - 여행사준수단체관광방역수칙가이드라인마련 - 공사선정안심관광지및비대면관광지홍보 방한관광업계비즈니스네트워크복원추진(연중) ㅇ - 2021 한국관광박람회(’21.7월) 포함주요해외박람회 온라인참가지원및교육·컨설팅지원등,국제관광교류재개시시장선점위한기반조성 ㅇ - 시장별유력인사대상방한관광초청팸투어추진 (’21.4분기~’22.1분기집중추진),active,160
UNMAPPED_REPORT_2020,20,472,포스트코로나시대를대비하기 위해야간관광등선제적인 콘텐츠를 마련할것,"관광거점도시(5개지역) 특화야간관광홍보사업등지역별 ㅇ 야간관광콘텐츠발굴및홍보마케팅추진및야간관광 인지도제고를위한대국민UCC 제작공모전실시등(‘21.1월~12월) 코로나19 이후변화한여행트렌드반영, 뉴노멀시대에 ㅇ 맞는신규콘텐츠발굴및홍보마케팅실시(‘21.1월~12월) - 재택/원격근무확산대응워케이션(worcation) 상품, 비대면/ 소규모여행객을위한자동차여행, 반려동물양육가구대상 반려동물동반여행활성화등",최신트렌드를반영한신규콘텐츠의지속적인발굴및 ㅇ 새로운여행문화확산을위한홍보마케팅실시예정,active,161
UNMAPPED_REPORT_2020,20,473,불량숙소비중증가에따른 숙박시설 안전교육 참여를 독려할것,"코로나19로인하여온라인교육으로전환실시 ㅇ - 교육대상: 외국인관광도시민박업, 한옥체험업 - 교육기간: ’20.10월∼12월 - 교육내용: 총10개강좌(안전·위생교육, 우수사례포함) - 교육결과: 민박업주237명참여/ 총2,147회시청",2021 민박사업자대상온라인교육추진(11∼12월) ㅇ,active,162
